,Word,Sentiment
149,adventurism,0
150,adventurous,0
151,adversarial,1
152,adversary,1
153,adverse,1
154,adversity,1
155,advice,0
156,advisable,0
157,advocate,0
158,advocacy,0
159,affable,0
160,affability,0
161,affably,0
162,affectation,1
163,affection,0
164,affectionate,0
165,affinity,0
166,affirm,0
167,affirmation,0
168,affirmative,0
169,afflict,1
170,affliction,1
171,afflictive,1
172,affluent,0
173,affluence,0
174,afford,0
175,affordable,0
176,affront,1
177,afloat,0
178,afraid,1
179,against,1
180,aggravate,1
181,aggravating,1
182,aggravation,1
183,aggression,1
184,aggressive,1
185,aggressiveness,1
186,aggressor,1
187,aggrieve,1
188,aggrieved,1
189,aghast,1
190,agile,0
191,agilely,0
192,agility,0
193,agitate,1
194,agitated,1
195,agitation,1
196,agitator,1
197,agonies,1
198,agonize,1
199,agonizing,1
200,agonizingly,1
201,agony,1
202,agree,0
203,agreeability,0
204,agreeable,0
205,agreeableness,0
206,agreeably,0
207,agreement,0
208,ail,1
209,ailment,1
210,aimless,1
211,airs,1
212,alarm,1
213,alarmed,1
214,alarming,1
215,alarmingly,1
216,alas,1
217,alienate,1
218,alienated,1
219,alienation,1
220,allay,0
221,allegation,1
222,allegations,1
223,allege,1
224,allergic,1
225,alleviate,0
226,allow,0
227,allowable,0
228,allure,0
229,alluring,0
230,alluringly,0
231,ally,0
232,almighty,0
233,aloof,1
234,altercation,1
235,although,1
236,altruist,0
237,altruistic,0
238,altruistically,0
239,amaze,0
240,amazed,0
241,amazement,0
242,amazing,0
243,amazingly,0
244,ambiguous,1
245,ambiguity,1
246,ambitious,0
247,ambitiously,0
248,ambivalence,1
249,ambivalent,1
250,ambush,1
251,ameliorate,0
252,amenable,0
253,amenity,0
254,amiability,0
255,amiabily,0
256,amiable,0
257,amicability,0
258,amicable,0
259,amicably,0
260,amiss,1
261,amity,0
262,amnesty,0
263,amour,0
264,ample,0
265,amply,0
266,amputate,1
267,amuse,0
268,amusement,0
269,amusing,0
270,amusingly,0
271,anarchism,1
272,anarchist,1
273,anarchistic,1
274,anarchy,1
275,anemic,1
276,angel,0
277,angelic,0
278,anger,1
279,angrily,1
280,angriness,1
281,angry,1
282,anguish,1
283,annihilate,1
284,annihilation,1
285,animated,0
286,animosity,1
287,annoy,1
288,annoyance,1
289,annoyed,1
290,annoying,1
291,annoyingly,1
292,anomalous,1
293,anomaly,1
294,antagonism,1
295,antagonist,1
296,antagonistic,1
297,antagonize,1
298,anti-,1
299,anti-American,1
300,anti-Israeli,1
301,anti-Semites,1
302,anti-US,1
303,anti-occupation,1
304,anti-proliferation,1
305,anti-social,1
306,anti-white,1
307,antipathy,1
308,antiquated,1
309,antithetical,1
310,anxieties,1
311,anxiety,1
312,anxious,1
313,anxiously,1
314,anxiousness,1
315,apathetic,1
316,apathetically,1
317,apathy,1
318,ape,1
319,apocalypse,1
320,apocalyptic,1
321,apologist,1
322,apologists,1
323,apostle,0
324,apotheosis,0
325,appal,1
326,appall,1
327,appalled,1
328,appalling,1
329,appallingly,1
330,appeal,0
331,appealing,0
332,appease,0
333,applaud,0
334,appreciable,0
335,appreciate,0
336,appreciation,0
337,appreciative,0
338,appreciatively,0
339,appreciativeness,0
340,apprehension,1
341,apprehensions,1
342,apprehensive,1
343,apprehensively,1
344,appropriate,0
345,approval,0
346,approve,0
347,apt,0
348,aptly,0
349,aptitude,0
350,arbitrary,1
351,arcane,1
352,archaic,1
353,ardent,0
354,ardently,0
355,ardor,0
356,arduous,1
357,arduously,1
358,aristocratic,0
359,argue,1
360,argument,1
361,argumentative,1
362,arguments,1
363,arousal,0
364,arouse,0
365,arousing,0
366,arresting,0
367,arrogance,1
368,arrogant,1
369,arrogantly,1
370,articulate,0
371,artificial,1
372,ascendant,0
373,ascertainable,0
374,ashamed,1
375,asinine,1
376,asininely,1
377,asinininity,1
378,askance,1
379,asperse,1
380,aspersion,1
381,aspersions,1
382,aspiration,0
383,aspirations,0
384,aspire,0
385,assail,1
386,assassinate,1
387,assassin,1
388,assault,1
389,assent,0
390,assertions,0
391,assertive,0
392,asset,0
393,assiduous,0
394,assiduously,0
395,assuage,0
396,assurance,0
397,assurances,0
398,assure,0
399,assuredly,0
400,astonish,0
401,astonished,0
402,astonishing,0
403,astonishingly,0
404,astonishment,0
405,astound,0
406,astounded,0
407,astounding,0
408,astoundingly,0
409,astray,1
410,astute,0
411,astutely,0
412,asunder,1
413,asylum,0
414,atrocious,1
415,atrocities,1
416,atrocity,1
417,atrophy,1
418,attack,1
419,attain,0
420,attainable,0
421,attentive,0
422,attest,0
423,attraction,0
424,attractive,0
425,attractively,0
426,attune,0
427,audacious,1
428,audaciously,1
429,audaciousness,1
430,audacity,1
431,auspicious,0
432,austere,1
433,authentic,0
434,authoritarian,1
435,authoritative,0
436,autocrat,1
437,autocratic,1
438,award,0
439,autonomous,0
440,avalanche,1
441,avarice,1
442,avaricious,1
443,avariciously,1
444,avenge,1
445,aver,0
446,averse,1
447,aversion,1
448,avid,0
449,avidly,0
450,avoid,1
451,avoidance,1
452,awe,0
453,awed,0
454,awesome,0
455,awesomely,0
456,awesomeness,0
457,awestruck,0
458,awful,1
459,awfully,1
460,awfulness,1
461,awkward,1
462,awkwardness,1
463,ax,1
464,babble,1
465,back,0
466,backbite,1
467,backbiting,1
468,backbone,0
469,backward,1
470,backwardness,1
471,bad,1
472,badly,1
473,baffle,1
474,baffled,1
475,bafflement,1
476,baffling,1
477,bait,1
478,balanced,0
479,balk,1
480,banal,1
481,banalize,1
482,bane,1
483,banish,1
484,banishment,1
485,bankrupt,1
486,bar,1
487,barbarian,1
488,barbaric,1
489,barbarically,1
490,barbarity,1
491,barbarous,1
492,barbarously,1
493,barely,1
494,bargain,0
495,barren,1
496,baseless,1
497,bashful,1
498,basic,0
499,bask,0
500,bastard,1
501,battered,1
502,battering,1
503,battle,1
504,battle-lines,1
505,battlefield,1
506,battleground,1
507,batty,1
508,beacon,0
509,bearish,1
510,beast,1
511,beastly,1
512,beatify,0
513,beauteous,0
514,beautiful,0
515,beautifully,0
516,beautify,0
517,beauty,0
518,bedlam,1
519,bedlamite,1
520,befit,0
521,befitting,0
522,befoul,1
523,befriend,0
524,beg,1
525,beggar,1
526,beggarly,1
527,begging,1
528,beguile,1
529,belated,1
530,belabor,1
531,beleaguer,1
532,belie,1
533,believable,0
534,belittle,1
535,belittled,1
536,belittling,1
537,bellicose,1
538,belligerence,1
539,belligerent,1
540,belligerently,1
541,beloved,0
542,bemoan,1
543,bemoaning,1
544,bemused,1
545,benefactor,0
546,beneficial,0
547,beneficent,0
548,beneficially,0
549,beneficiary,0
550,benefit,0
551,benefits,0
552,benevolence,0
553,benevolent,0
554,benign,0
555,bent,1
556,berate,1
557,bereave,1
558,bereavement,1
559,bereft,1
560,berserk,1
561,beseech,1
562,beset,1
563,besiege,1
564,besmirch,1
565,best,0
566,best-known,0
567,best-performing,0
568,best-selling,0
569,bestial,1
570,betray,1
571,betrayal,1
572,betrayals,1
573,betrayer,1
574,better,0
575,better-known,0
576,better-than-expected,0
577,bewail,1
578,beware,1
579,bewilder,1
580,bewildered,1
581,bewildering,1
582,bewilderingly,1
583,bewilderment,1
584,bewitch,1
585,bias,1
586,biased,1
587,biases,1
588,bicker,1
589,bickering,1
590,bid-rigging,1
591,bitch,1
592,bitchy,1
593,biting,1
594,bitingly,1
595,bitter,1
596,bitterly,1
597,bitterness,1
598,bizarre,1
599,blab,1
600,blabber,1
601,black,1
602,blackmail,1
603,blah,1
604,blame,1
605,blameless,0
606,blameworthy,1
607,bland,1
608,blandish,1
609,blaspheme,1
610,blasphemous,1
611,blasphemy,1
612,blast,1
613,blasted,1
614,blatant,1
615,blatantly,1
616,blather,1
617,bleak,1
618,bleakly,1
619,bleakness,1
620,bleed,1
621,blemish,1
622,bless,0
623,blessing,0
624,blind,1
625,blinding,1
626,blindingly,1
627,blindness,1
628,blindside,1
629,bliss,0
630,blissful,0
631,blissfully,0
632,blister,1
633,blistering,1
634,blithe,0
635,bloated,1
636,block,1
637,blockhead,1
638,blood,1
639,bloodshed,1
640,bloodthirsty,1
641,bloody,1
642,bloom,0
643,blossom,0
644,blow,1
645,blunder,1
646,blundering,1
647,blunders,1
648,blunt,1
649,blur,1
650,blurt,1
651,boast,0
652,boast,1
653,boastful,1
654,boggle,1
655,bogus,1
656,boil,1
657,boiling,1
658,boisterous,1
659,bold,0
660,boldly,0
661,boldness,0
662,bolster,0
663,bombard,1
664,bomb,1
665,bombardment,1
666,bombastic,1
667,bondage,1
668,bonkers,1
669,bonny,0
670,bonus,0
671,boom,0
672,booming,0
673,boost,0
674,bore,1
675,boredom,1
676,boring,1
677,botch,1
678,bother,1
679,bothersome,1
680,boundless,0
681,bountiful,0
682,bowdlerize,1
683,boycott,1
684,braggart,1
685,bragger,1
686,brains,0
687,brainwash,1
688,brainy,0
689,brash,1
690,brashly,1
691,brashness,1
692,brat,1
693,bravado,1
694,brave,0
695,bravery,0
696,brazen,1
697,brazenly,1
698,brazenness,1
699,breach,1
700,break,1
701,break-point,1
702,breakdown,1
703,breakthrough,0
704,breakthroughs,0
705,breathlessness,0
706,breathtaking,0
707,breathtakingly,0
708,bright,0
709,brighten,0
710,brightness,0
711,brilliance,0
712,brilliant,0
713,brilliantly,0
714,brimstone,1
715,brisk,0
716,bristle,1
717,brittle,1
718,broad,0
719,broke,1
720,broken-hearted,1
721,brood,1
722,brook,0
723,brotherly,0
724,browbeat,1
725,bruise,1
726,brusque,1
727,brutal,1
728,brutalising,1
729,brutalities,1
730,brutality,1
731,brutalize,1
732,brutalizing,1
733,brutally,1
734,brute,1
735,brutish,1
736,bug,1
737,buckle,1
738,bulky,1
739,bull,0
740,bullies,1
741,bullish,0
742,bully,1
743,bullyingly,1
744,bum,1
745,bumpy,1
746,bungle,1
747,bungler,1
748,bunk,1
749,buoyant,0
750,burden,1
751,burdensome,1
752,burdensomely,1
753,burn,1
754,busy,1
755,busybody,1
756,butcher,1
757,butchery,1
758,byzantine,1
759,cackle,1
760,cajole,1
761,calamities,1
762,calamitous,1
763,calamitously,1
764,calamity,1
765,callous,1
766,calm,0
767,calming,0
768,calmness,0
769,calumniate,1
770,calumniation,1
771,calumnies,1
772,calumnious,1
773,calumniously,1
774,calumny,1
775,cancer,1
776,cancerous,1
777,candid,0
778,candor,0
779,cannibal,1
780,cannibalize,1
781,capable,0
782,capability,0
783,capably,0
784,capitalize,0
785,capitulate,1
786,capricious,1
787,capriciously,1
788,capriciousness,1
789,capsize,1
790,captivate,0
791,captivating,0
792,captivation,0
793,captive,1
794,care,0
795,carefree,0
796,careful,0
797,careless,1
798,carelessness,1
799,caricature,1
800,carnage,1
801,carp,1
802,cartoon,1
803,cartoonish,1
804,cash-strapped,1
805,castigate,1
806,casualty,1
807,cataclysm,1
808,cataclysmal,1
809,cataclysmic,1
810,cataclysmically,1
811,catalyst,0
812,catastrophe,1
813,catastrophes,1
814,catastrophic,1
815,catastrophically,1
816,catchy,0
817,caustic,1
818,caustically,1
819,cautionary,1
820,cautious,1
821,cave,1
822,celebrate,0
823,celebrated,0
824,celebration,0
825,celebratory,0
826,celebrity,0
827,censure,1
828,chafe,1
829,chaff,1
830,chagrin,1
831,challenge,1
832,challenging,1
833,champion,0
834,champ,0
835,chaos,1
836,chaotic,1
837,charisma,1
838,charismatic,0
839,charitable,0
840,charity,0
841,charm,0
842,charming,0
843,charmingly,0
844,chaste,0
845,chasten,1
846,chastise,1
847,chastisement,1
848,chatter,1
849,chatterbox,1
850,cheapen,1
851,cheap,1
852,cheat,1
853,cheater,1
854,cheer,0
855,cheery,0
856,cheerful,0
857,cheerless,1
858,cherish,0
859,cherished,0
860,cherub,0
861,chic,0
862,chide,1
863,childish,1
864,chill,1
865,chilly,1
866,chit,1
867,chivalry,0
868,chivalrous,0
869,choppy,1
870,choke,1
871,chore,1
872,chronic,1
873,chum,0
874,civility,0
875,civilization,0
876,civilize,0
877,civil,0
878,clamor,1
879,clamorous,1
880,clarity,0
881,clash,1
882,classic,0
883,clean,0
884,cleanliness,0
885,cleanse,0
886,clear,0
887,clear-cut,0
888,clearer,0
889,clearly,0
890,clever,0
891,cliche,1
892,cliched,1
893,clique,1
894,clog,1
895,close,1
896,closeness,0
897,cloud,1
898,clout,0
899,clumsy,1
900,co-operation,0
901,coarse,1
902,coax,0
903,cocky,1
904,coddle,0
905,coerce,1
906,coercion,1
907,coercive,1
908,cogent,0
909,cohesive,0
910,cohere,0
911,coherence,0
912,coherent,0
913,cohesion,0
914,cold,1
915,coldly,1
916,collapse,1
917,collide,1
918,collude,1
919,collusion,1
920,colorful,0
921,colossal,0
922,combative,1
923,comeback,0
924,comedy,1
925,comely,0
926,comfort,0
927,comfortable,0
928,comfortably,0
929,comforting,0
930,comical,1
931,commend,0
932,commendable,0
933,commendably,0
934,commensurate,0
935,commonsense,0
936,commonsensible,0
937,commonsensibly,0
938,commonsensical,0
939,commodious,0
940,commiserate,1
941,commitment,0
942,commonplace,1
943,commotion,1
944,compact,0
945,compassion,0
946,compassionate,0
947,compatible,0
948,compel,1
949,compelling,0
950,compensate,0
951,competent,0
952,competence,0
953,competency,0
954,competitive,0
955,competitiveness,0
956,complacent,1
957,complain,1
958,complaining,1
959,complaint,1
960,complaints,1
961,complement,0
962,complex,1
963,compliant,0
964,complicate,1
965,complicated,1
966,complication,1
967,complicit,1
968,compliment,0
969,complimentary,0
970,comprehensive,0
971,compromise,0
972,compromises,0
973,compulsion,1
974,compulsive,1
975,compulsory,1
976,comrades,0
977,concede,1
978,conceit,1
979,conceited,1
980,conceivable,0
981,concern,1
982,concerned,1
983,concerns,1
984,concession,1
985,concessions,1
986,conciliate,0
987,conciliatory,0
988,conclusive,0
989,concrete,0
990,concur,0
991,condescend,1
992,condescending,1
993,condescendingly,1
994,condescension,1
995,condemn,1
996,condemnable,1
997,condemnation,1
998,condolence,1
999,condolences,1
1000,condone,0
1001,conducive,0
1002,confer,0
1003,confess,1
1004,confession,1
1005,confessions,1
1006,confidence,0
1007,confident,0
1008,conflict,1
1009,confound,1
1010,confounded,1
1011,confounding,1
1012,confront,1
1013,confrontation,1
1014,confrontational,1
1015,confuse,1
1016,confused,1
1017,confusing,1
1018,confusion,1
1019,confute,0
1020,congenial,0
1021,congested,1
1022,congestion,1
1023,congratulate,0
1024,congratulations,0
1025,congratulatory,0
1026,conquer,0
1027,conscience,0
1028,conscientious,0
1029,consensus,0
1030,consent,0
1031,considerate,0
1032,consistent,0
1033,console,0
1034,conspicuous,1
1035,conspicuously,1
1036,conspiracies,1
1037,conspiracy,1
1038,conspirator,1
1039,conspiratorial,1
1040,conspire,1
1041,constancy,0
1042,consternation,1
1043,constrain,1
1044,constraint,1
1045,constructive,0
1046,consume,1
1047,consummate,0
1048,contagious,1
1049,contaminate,1
1050,contamination,1
1051,contempt,1
1052,contemptible,1
1053,contemptuous,1
1054,contemptuously,1
1055,contend,1
1056,content,0
1057,contention,1
1058,contentment,0
1059,contentious,1
1060,continuity,0
1061,contort,1
1062,contortions,1
1063,contradict,1
1064,contradiction,1
1065,contradictory,1
1066,contrariness,1
1067,contrary,1
1068,contravene,1
1069,contribution,0
1070,contrive,1
1071,contrived,1
1072,controversial,1
1073,controversy,1
1074,convenient,0
1075,conveniently,0
1076,conviction,0
1077,convince,0
1078,convincing,0
1079,convincingly,0
1080,convoluted,1
1081,cooperate,0
1082,cooperation,0
1083,cooperative,0
1084,cooperatively,0
1085,coping,1
1086,cordial,0
1087,cornerstone,0
1088,correct,0
1089,correctly,0
1090,corrode,1
1091,corrosion,1
1092,corrosive,1
1093,corrupt,1
1094,corruption,1
1095,cost-effective,0
1096,cost-saving,0
1097,costly,1
1098,counterproductive,1
1099,coupists,1
1100,courage,0
1101,courageous,0
1102,courageously,0
1103,courageousness,0
1104,court,0
1105,courteous,0
1106,courtesy,0
1107,courtly,0
1108,covenant,0
1109,covetous,1
1110,cow,1
1111,coward,1
1112,cowardly,1
1113,cozy,0
1114,crackdown,1
1115,crafty,1
1116,cramped,1
1117,cranky,1
1118,crass,1
1119,crave,0
1120,craven,1
1121,cravenly,1
1122,craving,0
1123,craze,1
1124,crazily,1
1125,craziness,1
1126,crazy,1
1127,creative,0
1128,credence,0
1129,credible,0
1130,credulous,1
1131,crime,1
1132,criminal,1
1133,cringe,1
1134,cripple,1
1135,crippling,1
1136,crisis,1
1137,crisp,0
1138,critic,1
1139,critical,1
1140,criticism,1
1141,criticisms,1
1142,criticize,1
1143,critics,1
1144,crook,1
1145,crooked,1
1146,cross,1
1147,crowded,1
1148,crude,1
1149,cruel,1
1150,cruelties,1
1151,cruelty,1
1152,crumble,1
1153,crumple,1
1154,crusade,0
1155,crusader,0
1156,crush,1
1157,crushing,1
1158,cry,1
1159,culpable,1
1160,cuplrit,1
1161,cumbersome,1
1162,cure-all,0
1163,curious,0
1164,curiously,0
1165,curse,1
1166,cursed,1
1167,curses,1
1168,cursory,1
1169,curt,1
1170,cuss,1
1171,cut,1
1172,cute,0
1173,cutthroat,1
1174,cynical,1
1175,cynicism,1
1176,damage,1
1177,damaging,1
1178,damn,1
1179,damnable,1
1180,damnably,1
1181,damnation,1
1182,damned,1
1183,damning,1
1184,dance,0
1185,danger,1
1186,dangerous,1
1187,dangerousness,1
1188,dangle,1
1189,dare,0
1190,daring,0
1191,daringly,0
1192,dark,1
1193,darken,1
1194,darkness,1
1195,darling,0
1196,darn,1
1197,dash,1
1198,dashing,0
1199,dastard,1
1200,dastardly,1
1201,daunt,1
1202,daunting,1
1203,dauntingly,1
1204,dauntless,0
1205,dawdle,1
1206,dawn,0
1207,daydream,0
1208,daydreamer,0
1209,daze,1
1210,dazed,1
1211,dazzle,0
1212,dazzled,0
1213,dazzling,0
1214,dead,1
1215,deadbeat,1
1216,deadlock,1
1217,deadly,1
1218,deadweight,1
1219,deaf,1
1220,deal,0
1221,dear,0
1222,dearth,1
1223,death,1
1224,debacle,1
1225,debase,1
1226,debasement,1
1227,debaser,1
1228,debatable,1
1229,debate,1
1230,debauch,1
1231,debaucher,1
1232,debauchery,1
1233,debilitate,1
1234,debilitating,1
1235,debility,1
1236,decadence,1
1237,decadent,1
1238,decay,1
1239,decayed,1
1240,deceit,1
1241,deceitful,1
1242,deceitfully,1
1243,deceitfulness,1
1244,deceiving,1
1245,deceive,1
1246,deceiver,1
1247,deceivers,1
1248,decent,0
1249,decency,0
1250,deception,1
1251,deceptive,1
1252,deceptively,1
1253,decisive,0
1254,decisiveness,0
1255,declaim,1
1256,decline,1
1257,declining,1
1258,decrease,1
1259,decreasing,1
1260,decrement,1
1261,decrepit,1
1262,decrepitude,1
1263,decry,1
1264,dedicated,0
1265,deep,1
1266,deepening,1
1267,defamation,1
1268,defamations,1
1269,defamatory,1
1270,defame,1
1271,defeat,1
1272,defect,1
1273,defective,1
1274,defend,0
1275,defender,0
1276,defensive,1
1277,deference,0
1278,defense,0
1279,defiance,1
1280,defiant,1
1281,defiantly,1
1282,deficiency,1
1283,deficient,1
1284,defile,1
1285,defiler,1
1286,definite,0
1287,definitely,0
1288,definitive,0
1289,definitively,0
1290,deflationary,0
1291,deform,1
1292,deformed,1
1293,defrauding,1
1294,deft,0
1295,defunct,1
1296,defy,1
1297,degenerate,1
1298,degenerately,1
1299,degeneration,1
1300,degradation,1
1301,degrade,1
1302,degrading,1
1303,degradingly,1
1304,dehumanization,1
1305,dehumanize,1
1306,deign,1
1307,deject,1
1308,dejected,1
1309,dejectedly,1
1310,dejection,1
1311,delectable,0
1312,delicacy,0
1313,delicate,0
1314,delicious,0
1315,delight,0
1316,delighted,0
1317,delightful,0
1318,delightfully,0
1319,delightfulness,0
1320,delinquency,1
1321,delinquent,1
1322,delirious,1
1323,delirium,1
1324,delude,1
1325,deluded,1
1326,deluge,1
1327,delusion,1
1328,delusional,1
1329,delusions,1
1330,demean,1
1331,demeaning,1
1332,demise,1
1333,democratic,0
1334,demolish,1
1335,demolisher,1
1336,demon,1
1337,demonic,1
1338,demonize,1
1339,demoralize,1
1340,demoralizing,1
1341,demoralizingly,1
1342,demystify,0
1343,denial,1
1344,denigrate,1
1345,deny,1
1346,denounce,1
1347,denunciate,1
1348,denunciation,1
1349,denunciations,1
1350,dependable,0
1351,deplete,1
1352,deplorable,1
1353,deplorably,1
1354,deplore,1
1355,deploring,1
1356,deploringly,1
1357,deprave,1
1358,depraved,1
1359,depravedly,1
1360,deprecate,1
1361,depress,1
1362,depressed,1
1363,depressing,1
1364,depressingly,1
1365,depression,1
1366,deprive,1
1367,deprived,1
1368,deride,1
1369,derision,1
1370,derisive,1
1371,derisively,1
1372,derisiveness,1
1373,derogatory,1
1374,desecrate,1
1375,deserve,0
1376,deserved,0
1377,deservedly,0
1378,deserving,0
1379,desert,1
1380,desertion,1
1381,desiccate,1
1382,desiccated,1
1383,desirable,0
1384,desire,0
1385,desirous,0
1386,desolate,1
1387,desolately,1
1388,desolation,1
1389,despair,1
1390,despairing,1
1391,despairingly,1
1392,desperate,1
1393,desperately,1
1394,desperation,1
1395,despicable,1
1396,despicably,1
1397,despise,1
1398,despised,1
1399,despite,1
1400,despoil,1
1401,despoiler,1
1402,despondence,1
1403,despondency,1
1404,despondent,1
1405,despondently,1
1406,despot,1
1407,despotic,1
1408,despotism,1
1409,destabilisation,1
1410,destine,0
1411,destined,0
1412,destinies,0
1413,destiny,0
1414,destitute,1
1415,destitution,1
1416,destroy,1
1417,destroyer,1
1418,destruction,1
1419,destructive,1
1420,desultory,1
1421,deter,1
1422,deteriorate,1
1423,deteriorating,1
1424,deterioration,1
1425,determination,0
1426,deterrent,1
1427,detest,1
1428,detestable,1
1429,detestably,1
1430,detract,1
1431,detraction,1
1432,detriment,1
1433,detrimental,1
1434,devastate,1
1435,devastated,1
1436,devastating,1
1437,devastatingly,1
1438,devastation,1
1439,deviate,1
1440,deviation,1
1441,devil,1
1442,devilish,1
1443,devilishly,1
1444,devilment,1
1445,devilry,1
1446,devious,1
1447,deviously,1
1448,deviousness,1
1449,devoid,1
1450,devote,0
1451,devoted,0
1452,devotee,0
1453,devotion,0
1454,devout,0
1455,dexterity,0
1456,dexterous,0
1457,dexterously,0
1458,dextrous,0
1459,diabolic,1
1460,diabolical,1
1461,diabolically,1
1462,diametrically,1
1463,diatribe,1
1464,diatribes,1
1465,dictator,1
1466,dictatorial,1
1467,differ,1
1468,difficult,1
1469,difficulties,1
1470,difficulty,1
1471,diffidence,1
1472,dig,1
1473,dig,0
1474,dignified,0
1475,dignify,0
1476,dignity,0
1477,digress,1
1478,dilapidated,1
1479,dilemma,1
1480,diligence,0
1481,diligent,0
1482,diligently,0
1483,dilly-dally,1
1484,dim,1
1485,diminish,1
1486,diminishing,1
1487,din,1
1488,dinky,1
1489,diplomatic,0
1490,dire,1
1491,direly,1
1492,direness,1
1493,dirt,1
1494,dirty,1
1495,disable,1
1496,disabled,1
1497,disaccord,1
1498,disadvantage,1
1499,disadvantaged,1
1500,disadvantageous,1
1501,disaffect,1
1502,disaffected,1
1503,disaffirm,1
1504,disagree,1
1505,disagreeable,1
1506,disagreeably,1
1507,disagreement,1
1508,disallow,1
1509,disappoint,1
1510,disappointed,1
1511,disappointing,1
1512,disappointingly,1
1513,disappointment,1
1514,disapprobation,1
1515,disapproval,1
1516,disapprove,1
1517,disapproving,1
1518,disarm,1
1519,disarray,1
1520,disaster,1
1521,disastrous,1
1522,disastrously,1
1523,disavow,1
1524,disavowal,1
1525,disbelief,1
1526,disbelieve,1
1527,disbeliever,1
1528,discerning,0
1529,disclaim,1
1530,discombobulate,1
1531,discomfit,1
1532,discomfititure,1
1533,discomfort,1
1534,discompose,1
1535,disconcert,1
1536,disconcerted,1
1537,disconcerting,1
1538,disconcertingly,1
1539,disconsolate,1
1540,disconsolately,1
1541,disconsolation,1
1542,discontent,1
1543,discontented,1
1544,discontentedly,1
1545,discontinuity,1
1546,discord,1
1547,discordance,1
1548,discordant,1
1549,discountenance,1
1550,discourage,1
1551,discouragement,1
1552,discouraging,1
1553,discouragingly,1
1554,discourteous,1
1555,discourteously,1
1556,discredit,1
1557,discreet,0
1558,discrepant,1
1559,discretion,0
1560,discriminate,1
1561,discriminating,0
1562,discriminatingly,0
1563,discrimination,1
1564,discriminatory,1
1565,disdain,1
1566,disdainful,1
1567,disdainfully,1
1568,disease,1
1569,diseased,1
1570,disfavor,1
1571,disgrace,1
1572,disgraced,1
1573,disgraceful,1
1574,disgracefully,1
1575,disgruntle,1
1576,disgruntled,1
1577,disgust,1
1578,disgusted,1
1579,disgustedly,1
1580,disgustful,1
1581,disgustfully,1
1582,disgusting,1
1583,disgustingly,1
1584,dishearten,1
1585,disheartening,1
1586,dishearteningly,1
1587,dishonest,1
1588,dishonestly,1
1589,dishonesty,1
1590,dishonor,1
1591,dishonorable,1
1592,dishonorablely,1
1593,disillusion,1
1594,disillusioned,1
1595,disinclination,1
1596,disinclined,1
1597,disingenuous,1
1598,disingenuously,1
1599,disintegrate,1
1600,disinterested,1
1601,disintegration,1
1602,disinterest,1
1603,dislike,1
1604,dislocated,1
1605,disloyal,1
1606,disloyalty,1
1607,dismal,1
1608,dismally,1
1609,dismalness,1
1610,dismay,1
1611,dismayed,1
1612,dismaying,1
1613,dismayingly,1
1614,dismissive,1
